token,log_name,subset,heading_change_deg,connector_turn_type,ego_speed_t0,expert_stopped_t0,n_moving_vehicles_30m,lane_change,reentry_from_stop,near_pudo_t0,lateral_offset_t0
5ca0bd6bc8e258c9,2021.10.06.07.26.10_veh-52_01245_02064,unprotected_turn,50.68902478927509,LEFT,3.9937260150909424,False,1,False,False,False,0.2780175716470037
3af98cdf0bc35f44,2021.10.06.08.16.17_veh-52_00181_00574,unprotected_turn,46.82641838863368,LEFT,1.6950215101242065,False,0,False,False,False,0.12075790906646937
29d3fc42d08d57d2,2021.05.25.15.59.03_veh-30_04027_04200,unprotected_turn,60.99173830536127,LEFT,2.8440728187561035,False,2,False,False,False,0.12166901554763214
fa5edfd430ba550d,2021.09.29.14.44.26_veh-28_01059_01191,unprotected_turn,58.8486445277509,LEFT,4.2158660888671875,False,2,False,False,False,0.2924622182453319
c67e9184504951c5,2021.10.06.07.26.10_veh-52_01245_02064,unprotected_turn,71.74371159568433,RIGHT,2.154677629470825,False,0,False,False,False,0.48764557757761273
2ccebcdb0da25be5,2021.08.30.13.45.25_veh-40_00610_00771,unprotected_turn,67.30537507625651,LEFT,2.50447416305542,False,0,False,False,False,0.5231760505775452
0d93c2f3442752d9,2021.09.29.14.44.26_veh-28_01640_01743,unprotected_turn,54.139044316028645,RIGHT,5.89553165435791,False,2,False,False,False,1.9443729614806513
88c0bfe353235280,2021.09.16.13.53.10_veh-42_00077_00153,unprotected_turn,90.95629011554371,LEFT,3.0772135257720947,False,1,False,False,False,0.484704998563622
1bdfacbfcff75c27,2021.09.09.18.29.25_veh-39_01622_01766,unprotected_turn,97.68816935512898,LEFT,2.032501220703125,False,2,False,False,False,0.7369642806942694
37b96c1d86665204,2021.09.16.13.53.10_veh-42_00077_00153,unprotected_turn,58.0833709547735,RIGHT,8.060014724731445,False,1,False,False,False,0.2241957423291906
ccd53fdd1b6e51b8,2021.10.06.08.16.17_veh-52_01949_02501,unprotected_turn,69.84350274539511,RIGHT,1.4015681743621826,False,0,False,False,False,0.7704129417296264
78a46fe48bf15051,2021.09.16.13.53.10_veh-42_00630_00818,unprotected_turn,58.14995436408605,LEFT,3.750636100769043,False,0,False,False,False,0.16788599916535993
9568c56631be548e,2021.06.28.15.02.02_veh-38_02398_02848,unprotected_turn,92.00016635345328,RIGHT,5.8162713050842285,False,2,False,False,False,0.15486331231819803
114a946faf305345,2021.09.29.14.44.26_veh-28_01640_01743,unprotected_turn,53.99313753715977,LEFT,4.19153356552124,False,0,False,False,False,0.18735090216548284
0a51eebaccc95c36,2021.05.25.14.16.10_veh-35_01690_02183,unprotected_turn,52.36227864968875,LEFT,3.3183751106262207,False,1,False,False,False,0.48263057224795325
03d1885be4355a79,2021.10.06.07.26.10_veh-52_01245_02064,unprotected_turn,63.39250428418236,LEFT,1.413350224494934,False,1,False,False,False,0.48430980858720296
5cffd130ff2c510a,2021.05.25.17.54.41_veh-35_02723_02902,unprotected_turn,56.84626092487365,LEFT,3.600548028945923,False,0,False,False,False,0.5919949863443772
81935f2cb7d45945,2021.09.16.19.49.00_veh-42_00990_01609,unprotected_turn,76.87845926434703,LEFT,1.8301583528518677,False,1,False,False,False,0.12490209663255811
96c3433ef79a5478,2021.10.06.08.16.17_veh-52_00922_01296,unprotected_turn,45.0635568648785,LEFT,1.2503167390823364,False,0,False,False,False,0.3504315080216242
8d8f5c8c6c29525c,2021.09.16.13.53.10_veh-42_00860_01069,unprotected_turn,66.78265470254794,LEFT,3.7391984462738037,False,0,False,False,False,0.8367550974877149
0e7f7322726f5b86,2021.09.09.18.04.06_veh-40_00743_01071,merging,10.82553231758755,,8.519258499145508,False,3,True,False,False,0.0968016103941866
09be81c492625fd5,2021.05.25.17.54.41_veh-35_04111_04288,merging,0.15278166236182994,RIGHT,4.625253200531006,False,11,True,False,False,0.044612996850012396
c77d96b1b7d65d8a,2021.06.03.18.47.39_veh-35_00503_00777,merging,2.3388787003017795,LEFT,0.04760442301630974,True,5,True,True,False,0.6396469834755445
2352a994954555ba,2021.06.03.18.47.39_veh-35_00503_00777,merging,3.4942324283112054,LEFT,0.2873120903968811,True,5,True,True,False,0.6246924391889989
c648574640a65934,2021.06.28.20.24.43_veh-38_03385_04952,merging,11.738122363708525,LEFT,1.5303114652633667,False,3,True,False,False,0.7154229248377131
4e09d6c847dc5d3e,2021.09.29.14.44.26_veh-28_01640_01743,merging,42.967306181683874,RIGHT,0.20796915888786316,True,1,False,True,False,1.3289102612939916
bfcbb192c11b5736,2021.09.16.14.39.34_veh-42_00297_00935,merging,5.309544697426997,,0.4429011940956116,True,1,False,True,False,2.98500065358811
03143ef8f2f65a2f,2021.08.30.14.54.34_veh-40_00439_00835,merging,26.26271826871614,RIGHT,0.07451174408197403,True,1,False,True,False,1.4851511197632594
c284f9a1803f585f,2021.06.28.16.29.11_veh-38_03263_03766,merging,1.0605927736456626,,2.047696352005005,False,1,True,False,False,0.9725532490488381
c40e41ba1a285e0d,2021.06.28.18.03.27_veh-14_00620_01581,merging,25.768319755704976,,1.8001785278320312,False,1,True,False,False,1.8160674479268857
fb1c9ac223bf5bbe,2021.06.28.18.03.27_veh-14_00620_01581,merging,34.42772112093084,LEFT,3.8277618885040283,False,3,True,False,False,0.8944341087334501
c0d51ca7b8af5414,2021.08.30.13.45.25_veh-40_00878_01104,merging,12.456045946113061,,6.465470790863037,False,2,True,False,False,0.17874423520902175
8615a4df3a525ccc,2021.06.03.12.02.06_veh-35_00233_00609,merging,0.6650021347271433,STRAIGHT,9.498927116394043,False,6,True,False,False,0.24398604325440768
83fd1c194c0c5441,2021.05.25.14.16.10_veh-35_00083_00485,merging,6.26651036878792,,5.229028701782227,False,6,True,False,False,1.5647777480483953
d546193a3a28587f,2021.06.28.16.57.59_veh-26_00016_00484,merging,37.30628835311709,LEFT,5.681933879852295,False,5,True,False,False,0.1836228505811882
