token,log_name,map_name,heading_change_deg,ego_speed_t0,ego_speed_t4,expert_progress_m,expert_stopped_t0,expert_start_delay_s,passes_lane_connector,connector_has_traffic_light,connector_turn_type,unprotected_turn,lane_id_t0,lane_id_t4,same_roadblock,lane_change,target_lane_vehicles_30m,reentry_from_stop,merging,n_vehicles_30m,n_moving_vehicles_30m
6b68c09f87b85dc8,2021.10.06.08.16.17_veh-52_00032_00170,sg-one-north,1.6781253338729143,5.532113075256348,0.6755871176719666,11.836772621889208,False,0.0,False,,,False,49754,48634,False,False,0,False,False,0,0
a7fa674076175448,2021.10.06.08.16.17_veh-52_00032_00170,sg-one-north,10.157584333855693,0.7854605317115784,2.03037166595459,6.494339012468038,False,0.0,True,True,LEFT,False,48634,48634,True,False,0,False,False,0,0
125a155883e55be7,2021.10.06.08.16.17_veh-52_00032_00170,sg-one-north,12.94913568916424,1.0984845161437988,2.090301752090454,6.993824612993848,False,0.0,True,True,LEFT,False,48634,48634,True,False,0,False,False,0,0
8e9e20dde3ed5f0d,2021.10.06.08.16.17_veh-52_00032_00170,sg-one-north,16.208182861735107,1.3588433265686035,2.149470090866089,7.393621870028891,False,0.0,True,True,LEFT,False,48634,48634,True,False,0,False,False,0,0
4e60581353585fdc,2021.10.06.08.16.17_veh-52_00032_00170,sg-one-north,32.03015495399276,1.9181700944900513,3.064044237136841,8.913840971112993,False,0.0,True,True,LEFT,False,48634,48634,True,False,0,False,False,0,0
6347504b632c5be1,2021.10.06.08.16.17_veh-52_00032_00170,sg-one-north,35.389758745229656,1.981187343597412,3.3677284717559814,9.529452032395717,False,0.0,True,True,LEFT,False,48634,48634,True,False,0,False,False,0,0
b090f02ef43f5d41,2021.10.06.08.16.17_veh-52_00032_00170,sg-one-north,38.86995463322357,2.03037166595459,3.662135601043701,10.270628197533778,False,0.0,True,True,LEFT,False,48634,48634,True,False,0,False,False,0,0
06b2df49f0455bd0,2021.10.06.08.16.17_veh-52_00032_00170,sg-one-north,42.65712816552109,2.090301752090454,3.9358386993408203,11.118819457095592,False,0.0,True,True,LEFT,False,48634,48634,True,False,0,False,False,0,0
42559fd839fa54b2,2021.10.06.08.16.17_veh-52_00032_00170,sg-one-north,46.174242799495374,2.149470090866089,4.2201337814331055,12.061273761512645,False,0.0,True,True,LEFT,False,48634,48634,True,False,0,False,False,0,0
2dd2bd50fcc458d7,2021.10.06.08.16.17_veh-52_00032_00170,sg-one-north,49.06572085331391,2.192157745361328,4.4999165534973145,13.114949251653222,False,0.0,True,True,LEFT,False,48634,48634,True,False,0,False,False,0,0
e5224fa3a0f95b04,2021.10.06.08.16.17_veh-52_00032_00170,sg-one-north,49.91331924788319,2.443516492843628,4.7909440994262695,14.252494513221656,False,0.0,True,True,LEFT,False,48634,48634,True,False,0,False,False,0,0
