,token,no_at_fault_collisions,drivable_area_compliance,ego_progress,time_to_collision_within_bound,comfort,driving_direction_compliance,score,valid
0,0027991369e05ab2,1.0,1.0,0.9224078751396727,1.0,,,0.9676699479748635,True
1,0057ce5b81c35a81,1.0,1.0,0.9946416961901755,1.0,,,0.997767373412573,True
2,005fcf3e9a125706,1.0,1.0,0.7134150668724226,1.0,,,0.8805896111968426,True
3,008844070af456e3,1.0,1.0,0.5733760277480562,1.0,,,0.8222400115616901,True
4,00c893a01244562c,1.0,1.0,0.5656508364492161,1.0,,,0.8190211818538401,True
5,012432bd62b85f80,1.0,1.0,0.6286242806720759,1.0,,,0.8452601169466982,True
6,017514eaeeef5716,1.0,1.0,1.0,1.0,,,1.0,True
7,01876d7aa6f55554,1.0,1.0,0.5748804887197553,1.0,,,0.8228668702998979,True
8,019b86fe2e215b6e,1.0,1.0,0.5947715864802204,1.0,,,0.8311548277000919,True
9,019eaadd84cb56f8,1.0,1.0,1.0,1.0,,,1.0,True
10,02015675e4585611,1.0,1.0,0.8115642542780056,1.0,,,0.9214851059491691,True
11,026e84581e0f5044,1.0,1.0,0.8161244401523904,1.0,,,0.9233851833968293,True
12,029585f0509d52b0,1.0,1.0,0.8517855295494813,1.0,,,0.9382439706456172,True
13,02c173ffafdd5be5,1.0,1.0,0.6113625682257485,1.0,,,0.8380677367607285,True
14,02d9591fc6de53c8,1.0,1.0,0.885386394580075,1.0,,,0.9522443310750313,True
15,02f1ad081f41550e,1.0,1.0,1.0,1.0,,,1.0,True
16,03143ef8f2f65a2f,1.0,1.0,0.9599942486046554,1.0,,,0.9833309369186064,True
17,0334cae9f1ef56ae,1.0,1.0,0.6554092889506431,1.0,,,0.856420537062768,True
18,0371700bf65b51e0,1.0,1.0,0.987176061321245,1.0,,,0.9946566922171854,True
19,0388cd6f1af65029,1.0,1.0,1.0,1.0,,,1.0,True
20,039e37993d565b25,1.0,1.0,1.0,1.0,,,1.0,True
21,03d1885be4355a79,1.0,1.0,0.8069125436407509,1.0,,,0.9195468931836462,True
22,03d4ec82e7ac5804,1.0,1.0,0.8545732716627006,1.0,,,0.9394055298594587,True
23,043839beb58a5dad,1.0,1.0,0.8880945953280326,1.0,,,0.9533727480533468,True
24,0456452c8a13546c,1.0,1.0,0.9159980405026005,1.0,,,0.9649991835427502,True
25,045cd0254b3f5ad2,1.0,1.0,0.8737398559931149,1.0,,,0.947391606663798,True
26,04703c86cf5b5a20,1.0,1.0,0.8896389460449522,1.0,,,0.9540162275187299,True
27,04f5b9e8203c5a92,1.0,1.0,1.0,1.0,,,1.0,True
28,05304817b887541e,1.0,1.0,0.882583047223348,1.0,,,0.951076269676395,True
29,0578fbc7c369583a,1.0,1.0,0.9833050305001861,1.0,,,0.9930437627084109,True
30,05d6d7d83b97547c,1.0,1.0,0.6261062176614268,1.0,,,0.8442109240255945,True
31,05f1a5cbc0905d8e,1.0,1.0,0.7904120840842159,1.0,,,0.9126717017017567,True
32,06db90857b4e575d,1.0,1.0,0.8887947115812345,1.0,,,0.9536644631588477,True
33,06ea285b61b55a54,1.0,1.0,0.9917605500794174,1.0,,,0.9965668958664239,True
34,071d69045acb5971,1.0,1.0,0.9376540146159359,1.0,,,0.9740225060899732,True
35,076e4afb95d057cf,1.0,1.0,0.9628656641743865,1.0,,,0.9845273600726611,True
36,077031ef7dcb5ab4,1.0,1.0,1.0,1.0,,,1.0,True
37,0774f845fe6b5de3,1.0,1.0,1.0,1.0,,,1.0,True
38,0777f5a7263758be,1.0,1.0,1.0,1.0,,,1.0,True
39,078bc1027dde5d1a,1.0,1.0,0.7678677015661408,1.0,,,0.903278208985892,True
40,07b814bfc2fb565d,1.0,1.0,0.987321531114585,1.0,,,0.994717304631077,True
41,07dc9de3dd855653,1.0,1.0,0.631849766321557,1.0,,,0.8466040693006488,True
42,0802a51b0a1d512c,1.0,1.0,0.6075113448677343,1.0,,,0.8364630603615559,True
43,0855e09733fe5445,1.0,1.0,0.7868010896990494,1.0,,,0.9111671207079373,True
44,08a80ada64475443,1.0,1.0,0.6713233721084353,1.0,,,0.8630514050451814,True
45,08e8092f5e66571f,1.0,1.0,0.8049118474164464,1.0,,,0.9187132697568527,True
