token,log_name,subset,heading_change_deg,connector_turn_type,ego_speed_t0,expert_stopped_t0,n_moving_vehicles_30m,lane_change,reentry_from_stop,near_pudo_t0,lateral_offset_t0,label_is_target_scene,label_note
5ca0bd6bc8e258c9,2021.10.06.07.26.10_veh-52_01245_02064,unprotected_turn,50.68902478927509,LEFT,3.9937260150909424,False,1,False,False,False,0.2780175716470037,,
3af98cdf0bc35f44,2021.10.06.08.16.17_veh-52_00181_00574,unprotected_turn,46.82641838863368,LEFT,1.6950215101242063,False,0,False,False,False,0.1207579090664693,,
29d3fc42d08d57d2,2021.05.25.15.59.03_veh-30_04027_04200,unprotected_turn,60.99173830536127,LEFT,2.8440728187561035,False,2,False,False,False,0.1216690155476321,,
fa5edfd430ba550d,2021.09.29.14.44.26_veh-28_01059_01191,unprotected_turn,58.8486445277509,LEFT,4.215866088867188,False,2,False,False,False,0.2924622182453319,,
c67e9184504951c5,2021.10.06.07.26.10_veh-52_01245_02064,unprotected_turn,71.74371159568433,RIGHT,2.154677629470825,False,0,False,False,False,0.4876455775776127,,
2ccebcdb0da25be5,2021.08.30.13.45.25_veh-40_00610_00771,unprotected_turn,67.30537507625651,LEFT,2.50447416305542,False,0,False,False,False,0.5231760505775452,,
0d93c2f3442752d9,2021.09.29.14.44.26_veh-28_01640_01743,unprotected_turn,54.139044316028645,RIGHT,5.89553165435791,False,2,False,False,False,1.9443729614806515,,
88c0bfe353235280,2021.09.16.13.53.10_veh-42_00077_00153,unprotected_turn,90.95629011554372,LEFT,3.0772135257720947,False,1,False,False,False,0.484704998563622,,
1bdfacbfcff75c27,2021.09.09.18.29.25_veh-39_01622_01766,unprotected_turn,97.68816935512898,LEFT,2.032501220703125,False,2,False,False,False,0.7369642806942694,,
37b96c1d86665204,2021.09.16.13.53.10_veh-42_00077_00153,unprotected_turn,58.0833709547735,RIGHT,8.060014724731445,False,1,False,False,False,0.2241957423291906,,
ccd53fdd1b6e51b8,2021.10.06.08.16.17_veh-52_01949_02501,unprotected_turn,69.84350274539511,RIGHT,1.4015681743621826,False,0,False,False,False,0.7704129417296264,,
78a46fe48bf15051,2021.09.16.13.53.10_veh-42_00630_00818,unprotected_turn,58.14995436408605,LEFT,3.750636100769043,False,0,False,False,False,0.1678859991653599,,
9568c56631be548e,2021.06.28.15.02.02_veh-38_02398_02848,unprotected_turn,92.00016635345328,RIGHT,5.8162713050842285,False,2,False,False,False,0.154863312318198,,
114a946faf305345,2021.09.29.14.44.26_veh-28_01640_01743,unprotected_turn,53.99313753715977,LEFT,4.19153356552124,False,0,False,False,False,0.1873509021654828,,
0a51eebaccc95c36,2021.05.25.14.16.10_veh-35_01690_02183,unprotected_turn,52.36227864968875,LEFT,3.3183751106262207,False,1,False,False,False,0.4826305722479532,,
03d1885be4355a79,2021.10.06.07.26.10_veh-52_01245_02064,unprotected_turn,63.39250428418236,LEFT,1.413350224494934,False,1,False,False,False,0.4843098085872029,,
5cffd130ff2c510a,2021.05.25.17.54.41_veh-35_02723_02902,unprotected_turn,56.84626092487365,LEFT,3.600548028945923,False,0,False,False,False,0.5919949863443772,,
81935f2cb7d45945,2021.09.16.19.49.00_veh-42_00990_01609,unprotected_turn,76.87845926434703,LEFT,1.830158352851868,False,1,False,False,False,0.1249020966325581,,
96c3433ef79a5478,2021.10.06.08.16.17_veh-52_00922_01296,unprotected_turn,45.0635568648785,LEFT,1.2503167390823364,False,0,False,False,False,0.3504315080216242,,
8d8f5c8c6c29525c,2021.09.16.13.53.10_veh-42_00860_01069,unprotected_turn,66.78265470254794,LEFT,3.739198446273804,False,0,False,False,False,0.8367550974877149,,
0e7f7322726f5b86,2021.09.09.18.04.06_veh-40_00743_01071,merging,10.82553231758755,,8.519258499145508,False,3,True,False,False,0.0968016103941866,,
09be81c492625fd5,2021.05.25.17.54.41_veh-35_04111_04288,merging,0.1527816623618299,RIGHT,4.625253200531006,False,11,True,False,False,0.0446129968500123,,
c77d96b1b7d65d8a,2021.06.03.18.47.39_veh-35_00503_00777,merging,2.3388787003017795,LEFT,0.0476044230163097,True,5,True,True,False,0.6396469834755445,,
2352a994954555ba,2021.06.03.18.47.39_veh-35_00503_00777,merging,3.4942324283112054,LEFT,0.2873120903968811,True,5,True,True,False,0.6246924391889989,,
c648574640a65934,2021.06.28.20.24.43_veh-38_03385_04952,merging,11.738122363708523,LEFT,1.5303114652633667,False,3,True,False,False,0.7154229248377131,,
4e09d6c847dc5d3e,2021.09.29.14.44.26_veh-28_01640_01743,merging,42.967306181683874,RIGHT,0.2079691588878631,True,1,False,True,False,1.3289102612939916,,
bfcbb192c11b5736,2021.09.16.14.39.34_veh-42_00297_00935,merging,5.309544697426997,,0.4429011940956116,True,1,False,True,False,2.98500065358811,,
03143ef8f2f65a2f,2021.08.30.14.54.34_veh-40_00439_00835,merging,26.26271826871614,RIGHT,0.074511744081974,True,1,False,True,False,1.4851511197632594,,
c284f9a1803f585f,2021.06.28.16.29.11_veh-38_03263_03766,merging,1.0605927736456626,,2.047696352005005,False,1,True,False,False,0.972553249048838,,
